strategy,Top-1 accuracy,mean_regret,median_regret,p90_regret,low_regret_rate_le_0_03,n_workloads,seed,alpha,explicit_policy_weights,direct_utility_target_training,learned_acceptability_gating,information_role
heuristic_min_total_cost,0.3142857142857143,0.09880933072330605,0.030715650284734275,0.33669363148998366,0.5,140,37,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.37857142857142856,0.07265112398262782,0.0,0.30753390023166755,0.6,140,37,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.5214285714285715,0.010115354863033754,0.0,0.04298469708435716,0.8642857142857143,140,51,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.5214285714285715,0.010510296182967423,0.0,0.041969329545305314,0.8571428571428571,140,51,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.40714285714285714,0.0266359149194654,0.0,0.08219888263891464,0.7142857142857143,140,51,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.35,0.05963004426362725,0.0006969267823404568,0.27753051764747383,0.6071428571428571,140,51,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.39285714285714285,0.06182897482792769,0.0,0.2633125703720138,0.6285714285714286,140,51,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.3142857142857143,0.07869541616600306,0.02559947997230627,0.27667535309134217,0.5071428571428571,140,51,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.4142857142857143,0.05281517730943056,0.0,0.2633125703720138,0.7,140,51,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.6071428571428571,0.010022013624169036,0.0,0.04353446907039502,0.8428571428571429,140,73,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.6214285714285714,0.008635683737927568,0.0,0.04149501593952848,0.8642857142857143,140,73,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.4357142857142857,0.02726399157287447,0.0,0.09051157896471054,0.7,140,73,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.34285714285714286,0.06144525478106025,0.003532698942881052,0.28374959636072605,0.6285714285714286,140,73,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.42857142857142855,0.06300072113790739,0.0,0.27370888604258353,0.6571428571428571,140,73,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.2785714285714286,0.09416625513639777,0.039516788780618095,0.3354175623207493,0.4714285714285714,140,73,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.40714285714285714,0.057498441688662395,0.0,0.27370888604258353,0.6857142857142857,140,73,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.5785714285714286,0.013995351448609894,0.0,0.049286134833550314,0.8571428571428571,140,89,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.6142857142857143,0.009240043704064073,0.0,0.0375901744949626,0.8928571428571429,140,89,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.42857142857142855,0.053575917891054696,9.035976444921046e-05,0.16566487074209046,0.6928571428571428,140,89,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.34285714285714286,0.07828278402172312,0.014211145569466899,0.3359409577090139,0.5857142857142857,140,89,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.32857142857142857,0.08105971317546931,0.01570648391052909,0.35171120199021044,0.5785714285714286,140,89,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.17142857142857143,0.11659184223724307,0.06728301551090443,0.36346238019146027,0.3357142857142857,140,89,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.36428571428571427,0.07660370693065938,0.00990309491129493,0.35171120199021044,0.6285714285714286,140,89,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.5857142857142857,0.010543518644217136,0.0,0.04279303728224586,0.85,140,101,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.6071428571428571,0.008503796361496393,0.0,0.03437928024401391,0.8785714285714286,140,101,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.42857142857142855,0.02590890826441145,0.0,0.08395803524536592,0.7285714285714285,140,101,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.42857142857142855,0.04528486453591939,0.0,0.10524037534247299,0.7071428571428572,140,101,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.42857142857142855,0.04953754834494822,0.0,0.14677579385026582,0.6714285714285714,140,101,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.2642857142857143,0.06908734346250109,0.02765955553481092,0.1740620150269784,0.5142857142857142,140,101,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.5071428571428571,0.03830491739952602,0.0,0.10416727097025233,0.7642857142857142,140,101,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.4714285714285714,0.012779730936615765,0.0,0.04959130064828384,0.8142857142857143,140,127,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.4928571428571429,0.008987017218464538,0.0,0.03828419836325552,0.8642857142857143,140,127,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.35,0.029968561106117127,0.0,0.08533529462056841,0.6714285714285714,140,127,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.2357142857142857,0.058334571913260524,0.015396520899390698,0.15290371863974217,0.5785714285714286,140,127,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.35,0.05108017600002666,0.0,0.18305841713898774,0.7,140,127,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.2785714285714286,0.07798917679080591,0.023227193642097743,0.3006916884867965,0.5428571428571428,140,127,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.37142857142857144,0.04823433180434031,0.0,0.18305841713898774,0.7357142857142858,140,127,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.5714285714285714,0.011719289497878663,0.0,0.05245373515784346,0.8357142857142857,140,151,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.5642857142857143,0.01139430229122032,0.0,0.04952442021817759,0.8428571428571429,140,151,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.44285714285714284,0.04401396222301391,0.0,0.1264407323936397,0.7,140,151,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.36428571428571427,0.06636990906941137,0.001181328348036137,0.2975753969356908,0.6142857142857143,140,151,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.42857142857142855,0.06702531672889309,0.0,0.2930431575266039,0.6357142857142857,140,151,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.30714285714285716,0.09518011798736219,0.032283818584619595,0.3531452567447112,0.4928571428571429,140,151,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.4785714285714286,0.06006719052253957,0.0,0.29297454611987667,0.7,140,151,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.5928571428571429,0.01009257203473101,0.0,0.04083965216049883,0.8785714285714286,140,181,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.6142857142857143,0.009272661236513335,0.0,0.03714665818296925,0.8857142857142857,140,181,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.44285714285714284,0.02594502319270703,0.0,0.07691511919316182,0.7142857142857143,140,181,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.39285714285714285,0.07198859529466514,0.007805872106698475,0.33353279509249667,0.6,140,181,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.42142857142857143,0.07324827039577002,0.0006334327315550281,0.3218614042598991,0.6357142857142857,140,181,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.24285714285714285,0.10197994286999909,0.0562286824092737,0.3294170616289878,0.44285714285714284,140,181,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.45714285714285713,0.06364727973673556,0.0,0.32377724193379964,0.7142857142857143,140,181,0.45,False,False,False,single-criterion heuristic
